name,Object 1,Object 2,Object 3,Object 4,Object 5,Object 6,Object 7,Object 8,Object 9,Object 10,Object 11,Object 12,Object 13,Object 14
ss,STUFFE,K,s,A,mol,cd,m/s,m/s²,Pa,J,W,1,1,1
,1,13.0,559.0,,559.0,13.0,10.112,1.587,220.519,3249.597,220.519,1.0,1.0,1.0
,1,111.0,619.0,45.0,619.0,111.0,7.577,26.858,704.601,4308.604,704.601,0.0,1.0,1.0
,1,195.0,700.0,624.0,700.0,195.0,9.251,26.754,768.337,1098.466,768.337,1.0,,0.0
,1,483.0,272.0,,272.0,483.0,8.574,26.995,755.807,692.09,755.807,1.0,,1.0
,1,240.0,550.0,788.0,550.0,240.0,9.08,5.666,912.637,2503.18,912.637,0.0,1.0,1.0
,1,399.0,900.0,315.0,900.0,399.0,1.584,12.119,,2663.764,,1.0,1.0,0.0
,1,205.0,347.0,,347.0,205.0,,29.463,,,,1.0,0.0,1.0
,1,452.0,,363.0,,452.0,13.471,23.405,248.731,1696.843,248.731,1.0,1.0,0.0
,2,473.0,554.0,96.0,554.0,473.0,9.718,42.45,985.31,,985.31,0.0,0.0,
,2,30.0,515.0,544.0,515.0,30.0,,48.043,,1176.402,,0.0,1.0,0.0
,2,290.0,688.0,469.0,688.0,290.0,,37.618,265.274,366.767,265.274,0.0,0.0,1.0
,2,361.0,107.0,138.0,107.0,361.0,3.117,44.497,505.459,3437.642,505.459,0.0,0.0,0.0
,2,,438.0,115.0,438.0,,18.08,,,740.895,,0.0,0.0,
,2,287.0,1000.0,182.0,1000.0,287.0,6.65,1.337,787.396,4053.841,787.396,1.0,0.0,1.0
,2,421.0,72.0,286.0,72.0,421.0,16.875,25.519,983.552,1306.445,983.552,0.0,,0.0
,3,262.0,533.0,552.0,533.0,262.0,3.949,47.019,124.713,3115.965,124.713,0.0,,0.0
,3,99.0,854.0,,854.0,99.0,13.098,21.551,796.045,2366.194,796.045,0.0,1.0,0.0
,3,121.0,487.0,787.0,487.0,121.0,12.599,,5.644,1220.3,5.644,,0.0,0.0
,3,,610.0,774.0,610.0,,10.101,30.671,259.266,3718.405,259.266,0.0,0.0,1.0
,3,13.0,559.0,,559.0,13.0,10.112,1.587,220.519,3249.597,220.519,1.0,1.0,1.0
,4,111.0,619.0,45.0,619.0,111.0,7.577,26.858,704.601,4308.604,704.601,0.0,1.0,1.0
,4,195.0,700.0,624.0,700.0,195.0,9.251,26.754,768.337,1098.466,768.337,1.0,,0.0
,4,483.0,272.0,,272.0,483.0,8.574,26.995,755.807,692.09,755.807,1.0,,1.0
,4,240.0,550.0,788.0,550.0,240.0,9.08,5.666,912.637,2503.18,912.637,0.0,1.0,1.0
,4,399.0,900.0,315.0,900.0,399.0,1.584,12.119,,2663.764,,1.0,1.0,0.0
,4,205.0,347.0,,347.0,205.0,,29.463,,,,1.0,0.0,1.0
,4,452.0,,363.0,,452.0,13.471,23.405,248.731,1696.843,248.731,1.0,1.0,0.0
,4,473.0,554.0,96.0,554.0,473.0,9.718,42.45,985.31,,985.31,0.0,0.0,
,5,30.0,515.0,544.0,515.0,30.0,,48.043,,1176.402,,0.0,1.0,0.0
,5,290.0,688.0,469.0,688.0,290.0,,37.618,265.274,366.767,265.274,0.0,0.0,1.0
,5,361.0,107.0,138.0,107.0,361.0,3.117,44.497,505.459,3437.642,505.459,0.0,0.0,0.0
,5,,438.0,115.0,438.0,,18.08,,,740.895,,0.0,0.0,
,5,287.0,1000.0,182.0,1000.0,287.0,6.65,1.337,787.396,4053.841,787.396,1.0,0.0,1.0
,5,421.0,72.0,286.0,72.0,421.0,16.875,25.519,983.552,1306.445,983.552,0.0,,0.0
,6,262.0,533.0,552.0,533.0,262.0,3.949,47.019,124.713,3115.965,124.713,0.0,,0.0
,6,99.0,854.0,,854.0,99.0,13.098,21.551,796.045,2366.194,796.045,0.0,1.0,0.0
,6,121.0,487.0,787.0,487.0,121.0,12.599,,5.644,1220.3,5.644,,0.0,0.0
,6,,610.0,774.0,610.0,,10.101,30.671,259.266,3718.405,259.266,0.0,0.0,1.0
