name,Object 1,Object 2,Object 3,Object 4,Object 5,Object 6,Object 7,Object 8,Object 9,Object 10,Object 11,Object 12,Object 13,Object 14
ss,kg,K,s,A,mol,cd,m/s,m/s²,Pa,J,W,1,1,1
,1,312.0,3017.0,,559.0,,1.587,10.112,,1.587,220.519,1.0,1.0,0.0
,1,336.0,,46.0,619.0,45.0,26.858,7.577,84056.487,26.858,704.601,,0.0,1.0
,1,343.0,1456.0,35.0,700.0,624.0,26.754,9.251,93772.722,26.754,768.337,,1.0,1.0
,1,330.0,2045.0,83.0,272.0,,26.995,8.574,36743.09,26.995,755.807,1.0,1.0,0.0
,1,391.0,48.0,15.0,550.0,788.0,5.666,9.08,88758.214,5.666,912.637,1.0,0.0,1.0
,1,250.0,2002.0,,900.0,315.0,12.119,1.584,82701.954,12.119,,0.0,1.0,1.0
,1,345.0,2120.0,32.0,347.0,,29.463,,6059.497,29.463,,1.0,0.0,1.0
,1,371.0,1938.0,25.0,,363.0,23.405,13.471,10062.349,23.405,248.731,0.0,,0.0
,2,,3507.0,7.0,554.0,96.0,42.45,9.718,40695.304,42.45,985.31,1.0,0.0,0.0
,2,388.0,,7.0,515.0,544.0,48.043,,60332.429,48.043,,0.0,1.0,0.0
,2,316.0,2934.0,34.0,688.0,469.0,37.618,,101168.551,37.618,265.274,0.0,0.0,0.0
,2,385.0,,39.0,107.0,138.0,44.497,3.117,21420.987,44.497,505.459,0.0,,0.0
,2,283.0,1073.0,57.0,438.0,115.0,,18.08,84581.881,,,0.0,1.0,1.0
,2,354.0,3070.0,31.0,1000.0,182.0,1.337,6.65,81306.252,1.337,787.396,,0.0,0.0
,2,308.0,2704.0,43.0,72.0,286.0,25.519,16.875,2893.864,25.519,983.552,,0.0,0.0
,3,,779.0,91.0,533.0,552.0,47.019,3.949,96149.82,47.019,124.713,1.0,0.0,0.0
,3,347.0,713.0,39.0,854.0,,21.551,13.098,44857.626,21.551,796.045,0.0,0.0,
,3,307.0,604.0,,487.0,787.0,,12.599,70588.459,,5.644,0.0,1.0,0.0
,3,281.0,3283.0,68.0,610.0,774.0,30.671,10.101,55558.338,30.671,259.266,1.0,0.0,0.0
,3,312.0,3017.0,,559.0,,1.587,10.112,,1.587,220.519,1.0,1.0,0.0
,4,336.0,,46.0,619.0,45.0,26.858,7.577,84056.487,26.858,704.601,,0.0,1.0
,4,343.0,1456.0,35.0,700.0,624.0,26.754,9.251,93772.722,26.754,768.337,,1.0,1.0
,4,330.0,2045.0,83.0,272.0,,26.995,8.574,36743.09,26.995,755.807,1.0,1.0,0.0
,4,391.0,48.0,15.0,550.0,788.0,5.666,9.08,88758.214,5.666,912.637,1.0,0.0,1.0
,4,250.0,2002.0,,900.0,315.0,12.119,1.584,82701.954,12.119,,0.0,1.0,1.0
,4,345.0,2120.0,32.0,347.0,,29.463,,6059.497,29.463,,1.0,0.0,1.0
,4,371.0,1938.0,25.0,,363.0,23.405,13.471,10062.349,23.405,248.731,0.0,,0.0
,4,,3507.0,7.0,554.0,96.0,42.45,9.718,40695.304,42.45,985.31,1.0,0.0,0.0
,5,388.0,,7.0,515.0,544.0,48.043,,60332.429,48.043,,0.0,1.0,0.0
,5,316.0,2934.0,34.0,688.0,469.0,37.618,,101168.551,37.618,265.274,0.0,0.0,0.0
,5,385.0,,39.0,107.0,138.0,44.497,3.117,21420.987,44.497,505.459,0.0,,0.0
,5,283.0,1073.0,57.0,438.0,115.0,,18.08,84581.881,,,0.0,1.0,1.0
,5,354.0,3070.0,31.0,1000.0,182.0,1.337,6.65,81306.252,1.337,787.396,,0.0,0.0
,5,308.0,2704.0,43.0,72.0,286.0,25.519,16.875,2893.864,25.519,983.552,,0.0,0.0
,6,,779.0,91.0,533.0,552.0,47.019,3.949,96149.82,47.019,124.713,1.0,0.0,0.0
,6,347.0,713.0,39.0,854.0,,21.551,13.098,44857.626,21.551,796.045,0.0,0.0,
,6,307.0,604.0,,487.0,787.0,,12.599,70588.459,,5.644,0.0,1.0,0.0
,6,281.0,3283.0,68.0,610.0,774.0,30.671,10.101,55558.338,30.671,259.266,1.0,0.0,0.0
